city,state_name,lat,lng
O'Neill,Nebraska,42.4577811,-98.6475872
Bloomfield,Nebraska,42.5988909,-97.6456195
Ponca,Nebraska,42.5624971,-96.7055918
Neligh,Nebraska,42.1286177,-98.0297887
Oakland,Nebraska,41.8358265,-96.4669709
North Bend,Nebraska,41.4619485,-96.7797515
Scribner,Nebraska,41.6666664,-96.6658622
Fullerton,Nebraska,41.3633475,-97.9692253
Genoa,Nebraska,41.4486243,-97.7306077
Belleville,Kansas,39.8244501,-97.6325415
Washington,Kansas,39.8180592,-97.0508606
Phillipsburg,Kansas,39.7561207,-99.3239853
Hiawatha,Kansas,39.8525033,-95.5358156
Horton,Kansas,39.6605573,-95.5263689
Sabetha,Kansas,39.9022223,-95.8008225
Seneca,Kansas,39.834165,-96.0641676
Grand Island,Nebraska,40.9250123,-98.3420068
Kearney,Nebraska,40.699457,-99.0814767
Ravenna,Nebraska,41.0261229,-98.9125828
Hastings,Nebraska,40.5861246,-98.388393
Holdrege,Nebraska,40.4402885,-99.3698217
Beatrice,Nebraska,40.2680555,-96.7469704
Alma,Nebraska,40.0975108,-99.3620427
Concordia,Kansas,39.5708354,-97.6625396
Holton,Kansas,39.4652724,-95.7363723
Atchison,Kansas,39.5630521,-95.1216356
Goodland,Kansas,39.350833,-101.7101722
Colby,Kansas,39.3958369,-101.0523773
Clay Center,Kansas,39.3769407,-97.1247428
Beloit,Kansas,39.4561178,-98.1061595
Manhattan,Kansas,39.1836082,-96.5716694
Lansing,Kansas,39.2486126,-94.9002413
Leavenworth,Kansas,39.3111112,-94.9224637
Junction City,Kansas,39.0286093,-96.8313978
Topeka,Kansas,39.0483336,-95.6780371
Bonner Springs,Kansas,39.059726,-94.8835754
Edwardsville,Kansas,39.0611154,-94.8196847
Kansas City,Kansas,39.1141708,-94.627457
Ellis,Kansas,38.9380662,-99.5606669
Hays,Kansas,38.8791783,-99.3267702
Abilene,Kansas,38.9172216,-97.2139094
Herington,Kansas,38.671119,-96.9425139
Russell,Kansas,38.8952893,-98.8598061
Lawrence,Kansas,38.9716689,-95.2352501
De Soto,Kansas,38.9791709,-94.9685783
Edgerton,Kansas,38.7647302,-95.0080224
Fairway,Kansas,39.0222277,-94.6319018
Gardner,Kansas,38.8108408,-94.9271868
Lake Quivira,Kansas,39.0402827,-94.7766281
Leawood,Kansas,38.966673,-94.6169012
Lenexa,Kansas,38.9536174,-94.7335709
Roeland Park,Kansas,39.0375053,-94.6321795
Shawnee,Kansas,39.0416718,-94.7202376
Spring Hill,Kansas,38.7430646,-94.8255166
Westwood,Kansas,39.0405608,-94.6169013
Prairie Village,Kansas,38.9916726,-94.6335684
Salina,Kansas,38.8402805,-97.6114237
Council Grove,Kansas,38.6611187,-96.4919473
Ellsworth,Kansas,38.7305648,-98.2281126
Emporia,Kansas,38.403903,-96.1816626
Louisburg,Kansas,38.6194564,-94.6807903
Paola,Kansas,38.5722354,-94.8791294
Ellinwood,Kansas,38.3555675,-98.5809106
Great Bend,Kansas,38.3644567,-98.7648073
Hoisington,Kansas,38.5180672,-98.7781394
Lindsborg,Kansas,38.5736176,-97.6744838
McPherson,Kansas,38.3708415,-97.6642087
Florence,Kansas,38.244462,-96.9280786
Hillsboro,Kansas,38.3519556,-97.2044723
Lyons,Kansas,38.3450104,-98.2017268
Sterling,Kansas,38.2100112,-98.2070059
Burlington,Kansas,38.1944667,-95.7427641
Garnett,Kansas,38.2805772,-95.2419192
Larned,Kansas,38.1805693,-99.098713
Garden City,Kansas,37.9716898,-100.8726618
Halstead,Kansas,38.0014004,-97.5086518
Eureka,Kansas,37.8239167,-96.2891703
Hutchinson,Kansas,38.0608445,-97.9297743
Augusta,Kansas,37.6866844,-96.9767024
El Dorado,Kansas,37.81724,-96.8622524
Kinsley,Kansas,37.9230724,-99.4098384
Yates Center,Kansas,37.8811472,-95.7333175
Humboldt,Kansas,37.8105961,-95.4369264
Iola,Kansas,37.9244799,-95.3999814
La Harpe,Kansas,37.9169804,-95.2991465
Fort Scott,Kansas,37.8397626,-94.7082951
Dodge City,Kansas,37.7527982,-100.0170787
Bel Aire,Kansas,37.7748508,-97.2456676
Wichita,Kansas,37.6922361,-97.3375448
Pratt,Kansas,37.6439071,-98.7375911
Greensburg,Kansas,37.6027963,-99.2926131
Haviland,Kansas,37.6194626,-99.1064954
Kingman,Kansas,37.6458491,-98.1136734
Fredonia,Kansas,37.5339386,-95.8266483
Chanute,Kansas,37.6792135,-95.4572034
Frontenac,Kansas,37.4556049,-94.689127
Girard,Kansas,37.5111596,-94.8380215
Pittsburg,Kansas,37.4108841,-94.70496
Arkansas City,Kansas,37.0619736,-97.0383712
Winfield,Kansas,37.2397486,-96.9955919
Caldwell,Kansas,37.032247,-97.6069946
Wellington,Kansas,37.2653004,-97.3717119
Liberal,Kansas,37.0430812,-100.920999
Caney,Kansas,37.0114608,-95.9352584
Cherryvale,Kansas,37.270344,-95.5524788
Coffeyville,Kansas,37.0373005,-95.6163665
Independence,Kansas,37.2242358,-95.7083131
Anthony,Kansas,37.1533554,-98.0311728
Harper,Kansas,37.2866863,-98.0258945
Chetopa,Kansas,37.0372916,-95.0899613
Parsons,Kansas,37.3403384,-95.2610838
Baxter Springs,Kansas,37.0236759,-94.7355042
Columbus,Kansas,37.1692278,-94.8441239
Galena,Kansas,37.0758952,-94.6396714
Scammon,Kansas,37.2775569,-94.8249602
Weir,Kansas,37.3100548,-94.7719043
Creighton,Nebraska,42.4666706,-97.9061783
Crofton,Nebraska,42.7288884,-97.4956183
West Point,Nebraska,41.8416659,-96.7086432
Wisner,Nebraska,41.9872249,-96.9142055
Tilden,Nebraska,42.0472286,-97.8339503
Newman Grove,Nebraska,41.7500096,-97.7753327
Tekamah,Nebraska,41.7783218,-96.2211284
Columbus,Nebraska,41.4297341,-97.3683753
Fremont,Nebraska,41.4333328,-96.4980807
Broken Bow,Nebraska,41.4019509,-99.6392794
David City,Nebraska,41.2527908,-97.1300372
Wahoo,Nebraska,41.2113915,-96.6203025
Central City,Nebraska,41.1158476,-98.0017248
Clay Center,Nebraska,40.5216783,-98.055326
Sutton,Nebraska,40.6055658,-97.8592146
Franklin,Nebraska,40.0961242,-98.9525807
Oberlin,Kansas,39.8183384,-100.528201
Norton,Kansas,39.8338946,-99.8915113
Marysville,Kansas,39.8411129,-96.647242
Osborne,Kansas,39.4388994,-98.6947949
Minneapolis,Kansas,39.1219448,-97.7067028
Merriam,Kansas,39.0236165,-94.6935701
Mission,Kansas,39.0277832,-94.6557914
Mission Hills,Kansas,39.0177834,-94.6169014
Olathe,Kansas,38.8813958,-94.8191285
Overland Park,Kansas,38.9822282,-94.6707917
Osage City,Kansas,38.6338981,-95.8258207
Ottawa,Kansas,38.6155668,-95.2677515
Osawatomie,Kansas,38.4972372,-94.9505207
Marion,Kansas,38.3483493,-97.017245
Newton,Kansas,38.0466779,-97.3450365
Nickerson,Kansas,38.1472334,-98.0836679
Mullinville,Kansas,37.5861307,-99.475674
Neodesha,Kansas,37.4183929,-95.6802581
Mulberry,Kansas,37.5569911,-94.6219034
Oswego,Kansas,37.1675652,-95.1099645
Macy,Nebraska,42.1130467,-96.3564161
Bridgeport,Nebraska,41.6652507,-103.0990976
Harrisburg,Nebraska,41.5563636,-103.7385564
Chalco,Nebraska,41.1838878,-96.1502969
Brewster,Kansas,39.3666687,-101.3768295
Brookville,Kansas,38.7750057,-97.8683772
Brownell,Kansas,38.6402918,-99.7462292
Bronson,Kansas,37.8958708,-95.0733077
Crawford,Nebraska,42.6830237,-103.4127012
Chadron,Nebraska,42.8294187,-102.999907
Atkinson,Nebraska,42.5313912,-98.9781525
Hartington,Nebraska,42.6224992,-97.2644985
Ainsworth,Nebraska,42.5499993,-99.8626236
Bassett,Nebraska,42.5858337,-99.5378941
Dakota City,Nebraska,42.4155496,-96.4183637
Alliance,Nebraska,42.1016344,-102.872145
Battle Creek,Nebraska,41.9994496,-97.5983892
Burwell,Nebraska,41.7816732,-99.1331539
Bayard,Nebraska,41.7549697,-103.3241025
Albion,Nebraska,41.6908444,-98.0036724
Clarkson,Nebraska,41.7266741,-97.12226
Humphrey,Nebraska,41.6916753,-97.4844907
Hooper,Nebraska,41.6105534,-96.5480818
Blair,Nebraska,41.5444379,-96.1250151
Ashland,Nebraska,41.039165,-96.368346
Bennington,Nebraska,41.3647193,-96.1577968
Chappell,Nebraska,41.0927664,-102.4707445
Bellevue,Nebraska,41.1366656,-95.8908446
Gretna,Nebraska,41.1408322,-96.2397418
Aurora,Nebraska,40.8672344,-98.0042212
Henderson,Nebraska,40.7797333,-97.8122722
Cozad,Nebraska,40.8597294,-99.9873442
Hickman,Nebraska,40.6200009,-96.6291844
Curtis,Nebraska,40.6300081,-100.5157004
Imperial,Nebraska,40.5169402,-101.6432253
Crete,Nebraska,40.6277824,-96.9614174
Harvard,Nebraska,40.6189006,-98.0972736
Auburn,Nebraska,40.3927792,-95.8388861
Blue Springs,Nebraska,40.1394455,-96.6591898
Blue Hill,Nebraska,40.3325134,-98.4486701
Benkelman,Nebraska,40.0491615,-101.5329443
Cambridge,Nebraska,40.2819509,-100.1656922
Arapahoe,Nebraska,40.3041736,-99.900402
Beaver City,Nebraska,40.1375072,-99.8295648
Hebron,Nebraska,40.1663933,-97.5858752
Deshler,Nebraska,40.1408402,-97.7228191
Humboldt,Nebraska,40.1638893,-95.9449985
Bird City,Kansas,39.7508287,-101.5329438
Atwood,Kansas,39.806668,-101.0421012
Herndon,Kansas,39.9097258,-100.7851525
Burr Oak,Kansas,39.8661241,-98.3050528
Cedar,Kansas,39.6572333,-98.9403591
Athol,Kansas,39.7650117,-98.9195242
Courtland,Kansas,39.7813975,-97.892822
Cuba,Kansas,39.802781,-97.4558721
Agenda,Kansas,39.7077797,-97.4317035
Clifton,Kansas,39.5672207,-97.2786417
Barnes,Kansas,39.7119465,-96.8744658
Haddam,Kansas,39.8569478,-97.3017023
Hanover,Kansas,39.8938922,-96.8794698
Hollenberg,Kansas,39.9805597,-96.9922515
Clayton,Kansas,39.7375045,-100.1776352
Almena,Kansas,39.8922294,-99.707058
Agra,Kansas,39.7616776,-99.1192544
Axtell,Kansas,39.8716662,-96.2588985
Beattie,Kansas,39.8611117,-96.4197364
Blue Rapids,Kansas,39.6819447,-96.6597387
Hamlin,Kansas,39.9161131,-95.62804
Corning,Kansas,39.6572186,-96.0294417
Centralia,Kansas,39.725831,-96.1272246
Bern,Kansas,39.9622218,-95.9719422
Highland,Kansas,39.8597208,-95.2696985
Denton,Kansas,39.7327769,-95.2694196
Clyde,Kansas,39.5911106,-97.3989229
Aurora,Kansas,39.4519428,-97.5272565
Circleville,Kansas,39.5083278,-95.8585993
Hoyt,Kansas,39.247775,-95.706371
Delia,Kansas,39.2405523,-95.9669352
Denison,Kansas,39.3916635,-95.6280357
Huron,Kansas,39.638333,-95.3516423
Damar,Kansas,39.3188968,-99.5826102
Alton,Kansas,39.4708437,-98.9481389
Hoxie,Kansas,39.3575049,-100.441807
Cawker City,Kansas,39.5125104,-98.4336717
Hunter,Kansas,39.2341752,-98.397283
Bogue,Kansas,39.3625071,-99.6873364
Hill City,Kansas,39.3647281,-99.8420649
Belvue,Kansas,39.2166634,-96.178051
Havensville,Kansas,39.5111064,-96.0780519
Basehor,Kansas,39.1416692,-94.9385763
Culver,Kansas,38.9708357,-97.7589273
Bennington,Kansas,39.0305556,-97.5941992
Delphos,Kansas,39.2738894,-97.7719828
Barnard,Kansas,39.1905604,-98.0419914
Beverly,Kansas,39.0127825,-97.9756022
Auburn,Kansas,38.906114,-95.8160968
Alma,Kansas,39.0166657,-96.2891624
Alta Vista,Kansas,38.8638916,-96.4891678
Harveyville,Kansas,38.7900055,-95.9616564
Grinnell,Kansas,39.12723,-100.6290314
Carlton,Kansas,38.6872259,-97.2933586
Chapman,Kansas,38.9722212,-97.0225139
Hope,Kansas,38.6902839,-97.0766844
Bunker Hill,Kansas,38.8758445,-98.7039655
Dorrance,Kansas,38.8466777,-98.5895156
Collyer,Kansas,39.0355632,-100.1179065
Baldwin City,Kansas,38.775007,-95.1863603
Assaria,Kansas,38.6802826,-97.6044806
Gypsum,Kansas,38.7055591,-97.4280856
Holyrood,Kansas,38.5869549,-98.4111777
Burlingame,Kansas,38.7538947,-95.8349868
Carbondale,Kansas,38.8186155,-95.6891498
Bushong,Kansas,38.6430637,-96.2572195
Admire,Kansas,38.6411197,-96.1030491
Allen,Kansas,38.6561191,-96.1697173
Americus,Kansas,38.506956,-96.2619425
Hartford,Kansas,38.3083507,-95.9558234
Dighton,Kansas,38.4819612,-100.4670844
Horace,Kansas,38.4764046,-101.790729
Bazine,Kansas,38.4444594,-99.692063
Claflin,Kansas,38.525011,-98.5336841
Albert,Kansas,38.4527906,-99.0114836
Alexander,Kansas,38.4694588,-99.5531697
Bison,Kansas,38.5227908,-99.1973224
Canton,Kansas,38.3861194,-97.4280895
Burns,Kansas,38.0902957,-96.8864144
Cottonwood Falls,Kansas,38.3722364,-96.5427845
Cedar Point,Kansas,38.2600169,-96.8197407
Bushton,Kansas,38.5125105,-98.3953448
Chase,Kansas,38.355011,-98.3495111
Alden,Kansas,38.2422335,-98.3120105
Gridley,Kansas,38.097803,-95.8836
Colony,Kansas,38.0708626,-95.3655356
Blue Mound,Kansas,38.0900303,-95.0063593
Burdett,Kansas,38.19196,-99.5267844
Deerfield,Kansas,37.9797442,-101.1332238
Holcomb,Kansas,37.9861353,-100.989333
Coolidge,Kansas,38.0416799,-102.0087927
Hudson,Kansas,38.1055694,-98.6600832
Hanston,Kansas,38.1219618,-99.7129011
Burrton,Kansas,38.0239001,-97.6697675
Hesston,Kansas,38.1383437,-97.4314267
Climax,Kansas,37.7197539,-96.2233333
Hamilton,Kansas,37.9794705,-96.1641647
Buhler,Kansas,38.1344546,-97.7700478
Abbyville,Kansas,37.9708468,-98.2042299
Arlington,Kansas,37.8966808,-98.1786739
Haven,Kansas,37.8989003,-97.7828272
Cassoday,Kansas,38.0389075,-96.6391836
Andover,Kansas,37.7139041,-97.1364294
Benton,Kansas,37.7889039,-97.1086498
Douglass,Kansas,37.5194642,-97.0128147
Belpre,Kansas,37.9500155,-99.1003824
Bassett,Kansas,37.9028142,-95.4041482
Cimarron,Kansas,37.8066882,-100.3482003
Copeland,Kansas,37.5419685,-100.6296
Bucklin,Kansas,37.5472429,-99.6342901
Clearwater,Kansas,37.5027959,-97.5044921
Colwich,Kansas,37.7791785,-97.5364351
Cheney,Kansas,37.6300146,-97.7825513
Andale,Kansas,37.790567,-97.629492
Bentley,Kansas,37.8861228,-97.516988
Haysville,Kansas,37.5644615,-97.3522675
Derby,Kansas,37.5455735,-97.2689331
Byers,Kansas,37.7875166,-98.8670407
Coats,Kansas,37.5119639,-98.8242617
Cullison,Kansas,37.6305738,-98.9053762
Cunningham,Kansas,37.6439067,-98.4311883
Buffalo,Kansas,37.7097669,-95.6974822
Coyville,Kansas,37.6861525,-95.8974859
Altoona,Kansas,37.5239434,-95.6613696
Benedict,Kansas,37.6253267,-95.7505373
Cherokee,Kansas,37.3458874,-94.8088504
Arcadia,Kansas,37.6419893,-94.6238481
Arma,Kansas,37.5439358,-94.7002395
Hepler,Kansas,37.661157,-94.9683048
Grenola,Kansas,37.3486427,-96.4505641
Howard,Kansas,37.4703117,-96.2636066
Burden,Kansas,37.3128025,-96.7541973
Cambridge,Kansas,37.3161377,-96.6644686
Atlanta,Kansas,37.4364104,-96.7647517
Dexter,Kansas,37.1772513,-96.7144722
Conway Springs,Kansas,37.3902975,-97.6422723
Argonia,Kansas,37.265854,-97.7656092
Belle Plaine,Kansas,37.3939098,-97.281155
Hunnewell,Kansas,37.0050268,-97.4047679
Ashland,Kansas,37.1886376,-99.7656834
Hardtner,Kansas,37.0139169,-98.6495279
Hazelton,Kansas,37.090303,-98.3984073
Hugoton,Kansas,37.1753025,-101.3496025
Havana,Kansas,37.091735,-95.9419271
Dearing,Kansas,37.0586882,-95.713312
Danville,Kansas,37.286131,-97.8920016
Attica,Kansas,37.2414101,-98.226735
Bluff City,Kansas,37.0764125,-97.8750572
Coldwater,Kansas,37.2689131,-99.3267808
Altamont,Kansas,37.1903448,-95.2971928
Bartlett,Kansas,37.0547927,-95.2107992
Cedar Vale,Kansas,37.1042039,-96.5000112
Chautauqua,Kansas,37.0203354,-96.1766559
Gordon,Nebraska,42.8047197,-102.203218
Laurel,Nebraska,42.4294449,-97.0897704
Elgin,Nebraska,41.9833412,-98.0836773
Norfolk,Nebraska,42.0283379,-97.4169964
Gering,Nebraska,41.8258016,-103.6604995
Minatare,Nebraska,41.8094127,-103.5038293
Mitchell,Nebraska,41.9402435,-103.8085573
Fort Calhoun,Nebraska,41.4558282,-96.0264024
Ogallala,Nebraska,41.1280481,-101.7196184
North Platte,Nebraska,41.1357584453,-100.771081409
Kimball,Nebraska,41.2358138,-103.6629967
La Vista,Nebraska,41.1838878,-96.031127
Gothenburg,Nebraska,40.9294511,-100.1606824
Lexington,Nebraska,40.7808398,-99.7415045
Gibbon,Nebraska,40.7483472,-98.8448009
Milford,Nebraska,40.7744509,-97.0505887
Grant,Nebraska,40.8419409,-101.725172
Nebraska City,Nebraska,40.6766683,-95.8591686
Geneva,Nebraska,40.5269512,-97.5958818
Friend,Nebraska,40.6536172,-97.2861572
Edgar,Nebraska,40.3722317,-97.971432
Fairfield,Nebraska,40.4316782,-98.1058806
Minden,Nebraska,40.4986252,-98.9478594
Nelson,Nebraska,40.2016771,-98.0678201
Fairbury,Nebraska,40.1372247,-97.1805914
McCook,Nebraska,40.2019477,-100.6257077
Indianola,Nebraska,40.2344497,-100.4173683
Falls City,Nebraska,40.0608352,-95.6019294
McDonald,Kansas,39.7858301,-101.375718
Esbon,Kansas,39.8222345,-98.4358923
Formoso,Kansas,39.7800098,-97.9922672
Jewell,Kansas,39.671399,-98.1536611
Gaylord,Kansas,39.6439,-98.8475779
Kensington,Kansas,39.7669559,-99.0317506
Lebanon,Kansas,39.8097343,-98.5556199
Munden,Kansas,39.913894,-97.5380968
Narka,Kansas,39.9605603,-97.4258732
Greenleaf,Kansas,39.7283364,-96.9761341
Morrowville,Kansas,39.8444478,-97.1716984
Dresden,Kansas,39.6241709,-100.4223636
Norcatur,Kansas,39.8369494,-100.1879139
Jennings,Kansas,39.6794486,-100.2934724
Edmond,Kansas,39.6272279,-99.8226191
Lenora,Kansas,39.61056,-100.0026272
Glade,Kansas,39.6847319,-99.3098186
Kirwin,Kansas,39.6730662,-99.1223108
Frankfort,Kansas,39.7055548,-96.4169555
Oketo,Kansas,39.9636134,-96.5997429
Everest,Kansas,39.6772236,-95.4247001
Fairview,Kansas,39.8411112,-95.7280415
Morrill,Kansas,39.9283346,-95.6919303
Goff,Kansas,39.6638854,-95.9322154
Elwood,Kansas,39.7555499,-94.8724661
Leona,Kansas,39.7872224,-95.3216436
Glasco,Kansas,39.3566689,-97.841152
Miltonvale,Kansas,39.3483299,-97.4461408
Jamestown,Kansas,39.5994495,-97.8611542
Mayetta,Kansas,39.3388851,-95.7224828
Netawaka,Kansas,39.6027744,-95.7183173
Effingham,Kansas,39.5222207,-95.4008084
Muscotah,Kansas,39.5527772,-95.5216451
Lancaster,Kansas,39.5727762,-95.3027512
Kanorado,Kansas,39.3330542,-102.0379596
Gem,Kansas,39.4277818,-100.8976516
Menlo,Kansas,39.3569496,-100.7226471
Oakley,Kansas,39.133341,-100.8637593
Downs,Kansas,39.4986215,-98.5420098
Natoma,Kansas,39.1908441,-99.0287006
Green,Kansas,39.4277759,-97.0019605
Oak Hill,Kansas,39.2483279,-97.3414139
Morganville,Kansas,39.4663857,-97.2019703
Glen Elder,Kansas,39.4986212,-98.3086666
Morland,Kansas,39.3494489,-100.0756851
Ogden,Kansas,39.1111086,-96.706117
Leonardville,Kansas,39.3644416,-96.8589009
Emmett,Kansas,39.3072183,-96.0561047
McLouth,Kansas,39.1958333,-95.2083035
Meriden,Kansas,39.1888874,-95.5697001
Nortonville,Kansas,39.4166649,-95.3335839
Easton,Kansas,39.3449988,-95.1158011
Grandview Plaza,Kansas,39.0291649,-96.7891746
Milford,Kansas,39.1683299,-96.9125112
Eskridge,Kansas,38.8588923,-96.1091595
McFarland,Kansas,39.0527764,-96.2377728
Grainfield,Kansas,39.1136186,-100.4651386
Enterprise,Kansas,38.9027781,-97.1169619
Gorham,Kansas,38.8816784,-99.0231471
Eudora,Kansas,38.9433372,-95.0985808
Lecompton,Kansas,39.0444449,-95.3946967
New Cambria,Kansas,38.8791678,-97.5058645
Dunlap,Kansas,38.5763988,-96.3658336
Dwight,Kansas,38.8444474,-96.5933373
Latimer,Kansas,38.7388946,-96.8455665
Kanopolis,Kansas,38.7111197,-98.1572769
Melvern,Kansas,38.5069575,-95.6377619
Neosho Rapids,Kansas,38.3694601,-95.9919352
Lane,Kansas,38.4397392,-95.0821916
Fontana,Kansas,38.4258511,-94.8382949
Leoti,Kansas,38.479741,-101.3587713
Ness City,Kansas,38.4527935,-99.9065136
Galatia,Kansas,38.6416788,-98.9587015
McCracken,Kansas,38.5805694,-99.5712246
La Crosse,Kansas,38.5314022,-99.3087154
Galva,Kansas,38.3819523,-97.5375375
Marquette,Kansas,38.5555632,-97.8336559
Moundridge,Kansas,38.203065,-97.5192065
Inman,Kansas,38.2319537,-97.7733809
Durham,Kansas,38.4861202,-97.2280808
Goessel,Kansas,38.2463992,-97.3489233
Lehigh,Kansas,38.3727872,-97.3030858
Elmdale,Kansas,38.3736255,-96.6447322
Matfield Green,Kansas,38.1591843,-96.5605664
Frederick,Kansas,38.5133432,-98.2683947
Geneseo,Kansas,38.5161207,-98.1567235
New Strawn,Kansas,38.2625197,-95.7419311
Lebo,Kansas,38.4166818,-95.8530441
LeRoy,Kansas,38.0839164,-95.6344292
Greeley,Kansas,38.3666861,-95.1269156
Kincaid,Kansas,38.0841964,-95.1535856
Mound City,Kansas,38.1428068,-94.8135732
La Cygne,Kansas,38.3500206,-94.7613476
Garfield,Kansas,38.0777924,-99.2448316
Lakin,Kansas,37.9405752,-101.254892
Jetmore,Kansas,38.0844625,-99.8934619
North Newton,Kansas,38.0722333,-97.3455918
Fall River,Kansas,37.6078166,-96.0280426
Langdon,Kansas,37.8539044,-98.3245146
Elbing,Kansas,38.0527925,-97.1278103
Latham,Kansas,37.5361329,-96.6419654
Leon,Kansas,37.6902964,-96.7822508
Offerle,Kansas,37.8908512,-99.5578985
Lewis,Kansas,37.9361268,-99.2526111
Neosho Falls,Kansas,38.0055869,-95.557206
Elsmore,Kansas,37.7944858,-95.1502554
Gas,Kansas,37.9236467,-95.3460916
Mildred,Kansas,38.0236431,-95.1710867
Moran,Kansas,37.9161474,-95.1702546
Fulton,Kansas,38.0100354,-94.7196824
Ensign,Kansas,37.6527997,-100.2337527
Montezuma,Kansas,37.5958564,-100.4432047
Ingalls,Kansas,37.8277995,-100.4545927
Ford,Kansas,37.6361315,-99.754016
Eastborough,Kansas,37.6880698,-97.2636551
Garden Plain,Kansas,37.6583471,-97.6836604
Goddard,Kansas,37.6597363,-97.5753256
Mount Hope,Kansas,37.8686224,-97.665047
Kechi,Kansas,37.7958457,-97.279487
Iuka,Kansas,37.7291841,-98.7350909
Johnson City,Kansas,37.5698876,-101.7443105
Nashville,Kansas,37.4416863,-98.4225773
Norwich,Kansas,37.4572405,-97.8489433
New Albany,Kansas,37.5683765,-95.9377613
Earlton,Kansas,37.5881072,-95.4691472
Erie,Kansas,37.5681066,-95.2433113
Galesburg,Kansas,37.4736673,-95.358589
McCune,Kansas,37.3547791,-95.0166333
Elk Falls,Kansas,37.3672642,-96.1886038
Moline,Kansas,37.3603149,-96.3038876
Geuda Springs,Kansas,37.114194,-97.149207
Mayfield,Kansas,37.2583549,-97.5447709
Mulvane,Kansas,37.474464,-97.2439325
Milan,Kansas,37.2597433,-97.6739404
Fowler,Kansas,37.3855792,-100.1956968
Meade,Kansas,37.2855796,-100.3401456
Englewood,Kansas,37.0383622,-99.9834688
Minneola,Kansas,37.4433558,-100.0151355
Medicine Lodge,Kansas,37.2811339,-98.580361
Isabel,Kansas,37.4666865,-98.550361
Kiowa,Kansas,37.0172493,-98.4853539
Elkhart,Kansas,37.0080792,-101.8901664
Moscow,Kansas,37.3236349,-101.2057164
Kismet,Kansas,37.2055766,-100.7021002
Elk City,Kansas,37.2892269,-95.9116515
Liberty,Kansas,37.1556278,-95.5947005
Freeport,Kansas,37.1986325,-97.8570009
Edna,Kansas,37.0597959,-95.3594159
Mound Valley,Kansas,37.2053457,-95.4049746
Labette,Kansas,37.2306195,-95.1835788
Elgin,Kansas,37.0044964,-96.2766608
Niotaze,Kansas,37.0736771,-96.0135947
Rushville,Nebraska,42.7183176,-102.4640647
Randolph,Nebraska,42.3786127,-97.3570005
Long Pine,Nebraska,42.5363882,-99.7006772
South Sioux City,Nebraska,42.4738831,-96.4136407
Osmond,Nebraska,42.3600032,-97.5967282
Pierce,Nebraska,42.19917,-97.5267247
Plainview,Nebraska,42.3497266,-97.7920091
Madison,Nebraska,41.8283401,-97.455048
Stanton,Nebraska,41.950284,-97.2239336
Lyons,Nebraska,41.9374929,-96.4772509
Oshkosh,Nebraska,41.404983,-102.3443564
Scottsbluff,Nebraska,41.8666341,-103.6671662
Saint Edward,Nebraska,41.5700122,-97.8658897
Schuyler,Nebraska,41.4472309,-97.0594786
Sargent,Nebraska,41.640562,-99.3712162
Ord,Nebraska,41.6033429,-98.9261987
Sidney,Nebraska,41.1427623,-102.9779785
